count,data
1, 0  ms,  0  mm,  0  dBm 
625, 0  ms,  0  mm,  0  dBm 
626, 0  ms,  0  mm,  0  dBm 
627, 0  ms,  0  mm,  0  dBm 
628, 0  ms,  0  mm,  0  dBm 
629, 0  ms,  0  mm,  0  dBm 
630, 0  ms,  0  mm,  0  dBm 
631, 0  ms,  0  mm,  0  dBm 
632, 0  ms,  0  mm,  0  dBm 
633, 0  ms,  0  mm,  0  dBm 
634, 0  ms,  0  mm,  0  dBm 
635, 0  ms,  0  mm,  0  dBm 
636, 0  ms,  0  mm,  0  dBm 
637, 0  ms,  0  mm,  0  dBm 
638, 0  ms,  0  mm,  0  dBm 
639, 0  ms,  0  mm,  0  dBm 
640, 0  ms,  0  mm,  0  dBm 
641, 0  ms,  0  mm,  0  dBm 
642, 0  ms,  0  mm,  0  dBm 
643, 0  ms,  0  mm,  0  dBm 
644, 0  ms,  0  mm,  0  dBm 
645, 0  ms,  0  mm,  0  dBm 
646, 0  ms,  0  mm,  0  dBm 
647, 0  ms,  0  mm,  0  dBm 
648, 0  ms,  0  mm,  0  dBm 
649, 0  ms,  0  mm,  0  dBm 
650, 0  ms,  0  mm,  0  dBm 
651, 0  ms,  0  mm,  0  dBm 
652, 0  ms,  0  mm,  0  dBm 
653, 0  ms,  0  mm,  0  dBm 
654, 0  ms,  0  mm,  0  dBm 
655, 0  ms,  0  mm,  0  dBm 
656, 0  ms,  0  mm,  0  dBm 
657, 0  ms,  0  mm,  0  dBm 
658, 0  ms,  0  mm,  0  dBm 
659, 0  ms,  0  mm,  0  dBm 
660, 0  ms,  0  mm,  0  dBm 
661, 0  ms,  0  mm,  0  dBm 
662, 0  ms,  0  mm,  0  dBm 
663, 0  ms,  0  mm,  0  dBm 
664, 0  ms,  0  mm,  0  dBm 
665, 0  ms,  0  mm,  0  dBm 
666, 0  ms,  0  mm,  0  dBm 
667, 0  ms,  0  mm,  0  dBm 
668, 0  ms,  0  mm,  0  dBm 
669, 0  ms,  0  mm,  0  dBm 
670, 0  ms,  0  mm,  0  dBm 
671, 0  ms,  0  mm,  0  dBm 
672, 0  ms,  0  mm,  0  dBm 
673, 0  ms,  0  mm,  0  dBm 
674, 0  ms,  0  mm,  0  dBm 
675, 0  ms,  0  mm,  0  dBm 
676, 0  ms,  0  mm,  0  dBm 
677, 0  ms,  0  mm,  0  dBm 
678, 0  ms,  0  mm,  0  dBm 
679, 0  ms,  0  mm,  0  dBm 
680, 0  ms,  0  mm,  0  dBm 
681, 0  ms,  0  mm,  0  dBm 
682, 0  ms,  0  mm,  0  dBm 
683, 0  ms,  0  mm,  0  dBm 
684, 0  ms,  0  mm,  0  dBm 
685, 0  ms,  0  mm,  0  dBm 
686, 0  ms,  0  mm,  0  dBm 
687, 0  ms,  0  mm,  0  dBm 
688, 0  ms,  0  mm,  0  dBm 
689, 0  ms,  0  mm,  0  dBm 
690, 0  ms,  0  mm,  0  dBm 
691, 0  ms,  0  mm,  0  dBm 
692, 0  ms,  0  mm,  0  dBm 
693, 0  ms,  0  mm,  0  dBm 
694, 0  ms,  0  mm,  0  dBm 
695, 0  ms,  0  mm,  0  dBm 
696, 0  ms,  0  mm,  0  dBm 
697, 0  ms,  0  mm,  0  dBm 
698, 0  ms,  0  mm,  0  dBm 
699, 0  ms,  0  mm,  0  dBm 
700, 0  ms,  0  mm,  0  dBm 
701, 0  ms,  0  mm,  0  dBm 
702, 0  ms,  0  mm,  0  dBm 
703, 0  ms,  0  mm,  0  dBm 
704, 0  ms,  0  mm,  0  dBm 
705, 0  ms,  0  mm,  0  dBm 
706, 0  ms,  0  mm,  0  dBm 
707, 0  ms,  0  mm,  0  dBm 
708, 0  ms,  0  mm,  0  dBm 
709, 0  ms,  0  mm,  0  dBm 
710, 0  ms,  0  mm,  0  dBm 
711, 0  ms,  0  mm,  0  dBm 
712, 0  ms,  0  mm,  0  dBm 
713, 0  ms,  0  mm,  0  dBm 
714, 0  ms,  0  mm,  0  dBm 
715, 0  ms,  0  mm,  0  dBm 
716, 0  ms,  0  mm,  0  dBm 
717, 0  ms,  0  mm,  0  dBm 
718, 0  ms,  0  mm,  0  dBm 
719, 0  ms,  0  mm,  0  dBm 
720, 0  ms,  0  mm,  0  dBm 
721, 0  ms,  0  mm,  0  dBm 
722, 0  ms,  0  mm,  0  dBm 
723, 0  ms,  0  mm,  0  dBm 
724, 0  ms,  0  mm,  0  dBm 
725, 0  ms,  0  mm,  0  dBm 
726, 0  ms,  0  mm,  0  dBm 
727, 0  ms,  0  mm,  0  dBm 
728, 0  ms,  0  mm,  0  dBm 
729, 0  ms,  0  mm,  0  dBm 
730, 0  ms,  0  mm,  0  dBm 
731, 0  ms,  0  mm,  0  dBm 
732, 0  ms,  0  mm,  0  dBm 
733, 0  ms,  0  mm,  0  dBm 
734, 0  ms,  0  mm,  0  dBm 
735, 0  ms,  0  mm,  0  dBm 
736, 0  ms,  0  mm,  0  dBm 
737, 0  ms,  0  mm,  0  dBm 
738, 0  ms,  0  mm,  0  dBm 
739, 0  ms,  0  mm,  0  dBm 
740, 0  ms,  0  mm,  0  dBm 
741, 0  ms,  0  mm,  0  dBm 
742, 0  ms,  0  mm,  0  dBm 
743, 0  ms,  0  mm,  0  dBm 
744, 0  ms,  0  mm,  0  dBm 
745, 0  ms,  0  mm,  0  dBm 
746, 0  ms,  0  mm,  0  dBm 
747, 0  ms,  0  mm,  0  dBm 
748, 0  ms,  0  mm,  0  dBm 
749, 0  ms,  0  mm,  0  dBm 
750, 0  ms,  0  mm,  0  dBm 
751, 0  ms,  0  mm,  0  dBm 
752, 0  ms,  0  mm,  0  dBm 
753, 0  ms,  0  mm,  0  dBm 
754, 0  ms,  0  mm,  0  dBm 
755, 0  ms,  0  mm,  0  dBm 
756, 0  ms,  0  mm,  0  dBm 
757, 0  ms,  0  mm,  0  dBm 
758, 0  ms,  0  mm,  0  dBm 
759, 0  ms,  0  mm,  0  dBm 
760, 0  ms,  0  mm,  0  dBm 
761, 0  ms,  0  mm,  0  dBm 
762, 0  ms,  0  mm,  0  dBm 
